在原文件第几行	时间	加速度值
1639	2017/12/18 14:10:38	15.2
8679	2017/12/18 18:05:10	17.7
37811	2017/12/19 12:37:43	14.4
37893	2017/12/19 12:39:57	19.3
53226	2017/12/20 08:02:01	15.4
53533	2017/12/20 08:07:55	16.7
59510	2017/12/20 12:10:54	22.7
61915	2017/12/20 13:28:15	25.4
64448	2017/12/20 15:42:01	20.8
85995	2017/12/21 11:50:41	22.3
95906	2017/12/21 15:35:06	14.9
101785	2017/12/21 17:43:32	14.5
101789	2017/12/21 17:43:36	19.1
104271	2017/12/21 19:13:19	25.1
117719	2017/12/22 14:20:30	21.5
124149	2017/12/22 17:09:16	18.9
126855	2017/12/22 18:14:00	29.3
126856	2017/12/22 18:14:01	-31.6
133939	2017/12/22 21:52:00	15.0
135030	2017/12/22 22:52:18	15.2
137932	2017/12/23 00:00:13	55.7
152063	2017/12/23 09:12:01	14.6
152309	2017/12/23 09:27:41	18.4
153165	2017/12/23 09:44:01	73.4
153168	2017/12/23 09:44:04	-74.1
153376	2017/12/23 09:49:01	17.7
174055	2017/12/24 01:41:24	14.1
177957	2017/12/24 08:24:41	15.1
178622	2017/12/24 08:38:08	14.5
179849	2017/12/24 09:02:05	14.9
