在原文件第几行	插值缺少几行
1316	68
1881	43
1995	1
2538	1
4219	306
5033	1534
5298	1
5388	1
5421	126
5739	1
5752	80
5860	1187
6534	60
6780	569
6866	2215
7082	109
7156	62
7427	689
7769	52
8645	1
8646	1
9405	5475
9532	395
10906	966
10993	1789
11368	92
11636	40
11830	92
11923	52
11945	50
12224	1
12699	62
13309	43
13515	186
13701	50
14405	46
14626	43
14999	339
16702	43
16802	1882
17387	55
17601	45
17626	44
17778	10
17833	75
17928	41
18123	17
18132	1
18135	1
18144	1
18149	1
18161	1
18163	1
18165	20
18313	17
18326	1
18442	43
18490	8
18507	16
18590	1
18672	57
18934	121
19429	106
19430	1
19433	427
19976	31
21239	298
22081	42
22140	94
22326	542
22720	43
22887	526
23840	2151
24641	87
24670	1
24822	56
25028	2660
25755	37
26145	47
26158	301
26385	130
26509	51
26920	136
27115	7079
27241	170
27533	45
28007	47
28220	231
30869	44
31280	41
31636	36
31640	46
32037	42
32643	171
32681	2448
32726	537
32803	126
32965	5478
33202	265
33532	47
33739	1
33742	14
33744	58
33943	76
34174	60
34518	36
34746	132
35312	77
35412	62
35941	59
37026	169
37027	46
37806	1
37861	52
38004	466
38187	1311
38325	1067
38474	1
38592	1
38611	2
38668	1
38689	1
38699	210
38720	40
38911	438
39255	144
39610	46
39868	89
39965	1
40055	183
40115	21
40399	52
40566	106
40747	37
40821	47
40908	156
41190	86
41297	173
41355	125
41461	243
41621	167
41812	1517
41814	78
41989	347
42028	159
42110	89
42140	10
42142	319
42378	41
42536	196
42647	76
42712	40
42876	383
42943	197
43005	1
43084	112
43172	53
43623	445
43700	82
43755	124
43888	327
43954	66
43957	349
44218	86
44322	213
44586	50
44860	106
45305	130
45719	359
46253	32
46262	74
46462	51
46918	64
46926	54
46972	99
47038	41
47259	71
47393	227
47557	76
47614	51
47620	59
47869	53
48596	37
48830	48
49218	91
49394	31
49430	1
49663	38606
49934	315
49936	179
50413	89
50489	1665
50604	1
50610	19
50611	101
50656	49
50847	84
51409	1
51523	1
51545	1
51552	1
51559	1
51704	113
51747	102
52618	46
52683	84
52824	490
52868	129
53167	1
53171	1
53371	47
53377	1
53382	1
53470	1
53518	1
53562	55
53983	48
54103	63
54171	42
54642	1149
55028	1108
55332	1
55357	1
55864	542
55889	59
55894	112
56524	81
56568	36
56720	130
56777	41
56887	1645
56913	91
57083	39
57122	1631
57208	1
57681	520
57803	148
58433	91
58510	920
58808	51
59474	1
59800	61
59843	40
59894	41
59960	1680
60221	1
60408	1
60655	73
60959	58
61169	55
61423	79
61834	149
61837	1
61848	1
61851	1
61966	42
62005	78
62148	898
62643	1040
63300	1188
63592	627
63997	93
64028	1527
64344	1
64390	1
64517	3011
64593	2617
64635	1386
65612	1040
66462	1819
66849	509
67190	38
68806	2968
69608	74
69916	43
70129	1223
70154	505
70342	66
70676	32
70864	60
71257	157
71292	72
71509	312
71908	50
71953	59
72115	113
72546	920
73095	1
73125	2048
73297	93
73373	8671
79763	17210
79768	103
80138	83
80234	3646
80403	45
81886	51
82047	49
82298	54
82402	28
82974	74
83405	1
83672	59
83799	1
83808	21
83809	21
83835	38
84058	401
84472	59
84605	633
84920	80
85193	86
85647	66
85742	145
85760	49
85914	41
85921	45
86000	109
86072	1
